post_id,source,title,author,url,created_utc,score,matched_query,classifier_confidence,classifier_reason,found_at
freelancer:40458195,freelancer,£250-750: UK WordPress Site Redesign & SEO,[freelancer client],https://www.freelancer.com/projects/web-design/WordPress-Site-Redesign-SEO,2026-05-21T01:22:15+00:00,0,website design,0.92,"Business owner actively seeking to hire a WordPress designer-developer to redesign their existing website with specific scope, budget, and acceptance criteria.",2026-05-22T09:37:21.257214+00:00
freelancer:40455228,freelancer,£250-750: Car Admin Services Website Development,[freelancer client],https://www.freelancer.com/projects/ui-design/Car-Admin-Services-Website-Development,2026-05-19T18:39:49+00:00,0,wordpress website,0.92,"Business owner seeking professional website design for their car admin service, with clear budget and reference examples matching typical agency scope.",2026-05-22T09:37:39.825448+00:00
freelancer:40462087,freelancer,£250-750: WordPress Guides Site Development,[freelancer client],https://www.freelancer.com/projects/html/WordPress-Guides-Site-Development,2026-05-22T14:33:19+00:00,0,website design,0.92,"UK accountancy practice actively seeking a WordPress site build with clear budget (£250-750), specific requirements (resource hub, email capture, e-commerce, memberships), and openness to agency guidance on technical approach.",2026-05-22T14:49:40.667585+00:00
freelancer:40463209,freelancer,£250-750: Desert Sims Website ,[freelancer client],https://www.freelancer.com/projects/content-management-system/Desert-Sims-Website,2026-05-23T05:01:51+00:00,0,website design,0.92,"Clear intent to hire a web designer/developer to build a complete website for their service business; scope, budget, and deliverables align well with your agency's typical engagement.",2026-05-23T08:25:57.018717+00:00
at://did:plc:vvvyhynehh7b4l3c2xbejqyq/app.bsky.feed.post/3mmmlgbvaq22k,bluesky,I've cancelled my #Pattern by #Etsy website. I'm also looking into a whole new website for my business.,sparklyseaster.bsky.social,https://bsky.app/profile/sparklyseaster.bsky.social/post/3mmmlgbvaq22k,2026-05-24T18:22:33.529000+00:00,0,website for my business,0.85,"Author is actively seeking a new website for their small business (custom press-on nails) after discontinuing their Etsy shop, matching your typical SME client profile.",2026-05-24T19:23:53.809769+00:00
freelancer:40465796,freelancer,£250-750: Business Website Design Customization,[freelancer client],https://www.freelancer.com/projects/web-design/Business-Website-Design-Customization,2026-05-24T13:50:00+00:00,0,website design,0.92,Business owner seeking to hire a web designer to customize and build out their website with modern design and branding—direct match for your service offering.,2026-05-24T19:23:57.031934+00:00
freelancer:40465524,freelancer,£250-750: Elegant Clothing E-commerce Site,[freelancer client],https://www.freelancer.com/projects/web-development/Elegant-Clothing-commerce-Site,2026-05-24T10:50:28+00:00,0,website design,0.85,"Client is actively seeking a web developer to build an e-commerce site, though the budget and complexity (e-commerce with multiple integrations) may exceed typical engagement scope.",2026-05-24T19:24:00.634266+00:00
freelancer:40464286,freelancer,£20-250: Logo & Website Design Needed for Digital Marketing Agency (Content Included),[freelancer client],https://www.freelancer.com/projects/ui-design/Logo-Website-Design-Needed-for,2026-05-23T16:41:25+00:00,0,website design,0.85,"They're explicitly seeking website design (UI/UX) and are willing to hire someone to create it, though they're splitting the project across design, content, and future development phases.",2026-05-24T19:24:12.461557+00:00
freelancer:40467905,freelancer,£20-250: Wix Website Formatting and Alignment Expert,[freelancer client],https://www.freelancer.com/projects/web-design/Wix-Website-Formatting-Alignment-Expert,2026-05-25T11:57:48+00:00,0,website design,0.85,"Author is seeking someone to help build/format their Wix website, indicating they need website design/build work.",2026-05-25T15:18:34.939120+00:00
freelancer:40471170,freelancer,"£10-12: Logo, Card & Site Design",[freelancer client],https://www.freelancer.com/projects/business-cards/Logo-Card-Site-Design,2026-05-26T20:10:33+00:00,0,website design,0.92,"Author is actively seeking someone to design and build a website for their business, which matches your core service offering.",2026-05-26T20:14:20.317070+00:00
freelancer:40470902,freelancer,£20-250: Google Ads & Lead Generation Optimization for Wedding Catering Business,[freelancer client],https://www.freelancer.com/projects/google-ads/Google-Ads-Lead-Generation-Optimization-40470902,2026-05-26T17:30:35+00:00,0,website design,0.75,"They explicitly request website landing pages, mobile UX improvements, and stronger enquiry flow—clear web design/build work alongside PPC optimization.",2026-05-26T20:14:21.666184+00:00
freelancer:40470654,freelancer,£250-750: E-commerce Clothing Store Development,[freelancer client],https://www.freelancer.com/projects/web-development/commerce-Clothing-Store-Development-40470654,2026-05-26T15:26:44+00:00,0,website design,0.85,"Small business owner seeking to hire someone to design and build an e-commerce website, matching your service scope and budget range.",2026-05-26T20:14:28.455960+00:00
